town,lat,lon
Arlington,42.4153739,-71.1564428
Ashland,42.2606614,-71.4641337
Bedford,42.4917301,-71.2817947
Belmont,42.3959296,-71.1786655
Beverly,42.5584284,-70.8800491
Boston Allston-Brighton,42.360471200000006,-71.13581301312396
Boston Back Bay,42.3473297,-71.0749406
Boston Beacon Hill,42.3531653,-71.0636868
Boston Charlestown,42.3662875,-71.0622845
Boston Dorchester,42.315949849999996,-71.04466860363372
Boston Downtown,42.3531653,-71.0636868
Boston East Boston,42.3722589,-71.0259425
Boston Forest Hills,42.2924662,-71.1014102
Boston Hyde Park,42.25907505,-71.12856325153223
Boston Mattapan,42.28424285,-71.10074440040003
Boston North End,42.3531653,-71.0636868
Boston Roxbury,42.3161529,-71.0845051
Boston Savin Hill,42.3076755,-71.06160905261845
Boston South Boston,42.3531653,-71.0636868
Boston West Roxbury,42.2648,-71.1589
Braintree,42.2064195,-71.005067
Brookline,42.3317642,-71.1211635
Burlington,42.5048167,-71.1956111
Cambridge,42.3750997,-71.1056157
Canton,42.1584324,-71.1447732
Chelsea,42.3917638,-71.0328284
Cohasset,42.2419023,-70.8044436
Concord,42.4580676,-71.35998889539485
Danvers,42.5750946,-70.9300507
Dedham,42.2489143,-71.1755732
Dover,42.2459311,-71.2828342
Duxbury,42.0417695,-70.672259
Everett,42.40843,-71.0536625
Framingham,42.3095704,-71.4413097
Hamilton,42.6362052,-70.8431049
Hanover,42.1131572,-70.8119859
Hingham,42.2417669,-70.8897676
Holbrook,42.1552232,-71.008958
Hull,42.3020436,-70.9078243
Lexington,42.4473175,-71.2245003
Lincoln,42.4259283,-71.3039469
Lynn,42.466763,-70.9494939
Lynnfield,42.5389836,-71.0481084
Malden,42.4250964,-71.066163
Manchester,42.577873,-70.7689354
Marblehead,42.500096,-70.8578253
Marshfield,42.091769,-70.7055941
Medfield,42.1865609,-71.30546
Medford,42.4184296,-71.1061639
Melrose,42.4564323,-71.064182
Middleton,42.5950939,-71.0161643
Millis,42.1666775,-71.3585805
Milton,42.2406779,-71.09174673202533
Nahant,42.4264859,-70.9189371
Natick,42.2836393,-71.346996
Needham,42.2806488,-71.2364844
Newton,42.3370414,-71.2092214
Norfolk,42.1195426,-71.3250564
North Reading,42.5750939,-71.0786653
Norwell,42.1617681,-70.7939307
Norwood,42.194543,-71.1994976
Peabody,42.5278731,-70.9286609
Pembroke,42.0714907,-70.8092074
Quincy,42.2509914,-71.0037374
Randolph,42.1618005,-71.0424838
Reading,42.5256502,-71.0953314
Revere,42.4084302,-71.0119948
Rockland,42.1306563,-70.9161551
Salem,42.5195292,-70.8967226
Saugus,42.4648183,-71.010051
Scituate,42.1939754,-70.7697128
Sharon,42.1237328,-71.1787282
Sherborn,42.2397842,-71.3701417
Somerville,42.3875968,-71.0994968
Stoneham,42.4802635,-71.0993581
Sudbury,42.3834278,-71.4161725
Swampscott,42.4699241,-70.9171507
Topsfield,42.6375935,-70.9494966
Wakefield,42.5013464,-71.06735699279525
Walpole,42.1417653,-71.2494985
Waltham,42.3756401,-71.2358004
Watertown,42.3709299,-71.1828321
Wayland,42.3632063,-71.3606721
Wellesley,42.2964859,-71.2925571
Wenham,42.60428065,-70.89315689729732
Weston,42.3667625,-71.3031132
Westwood,42.2139873,-71.2244987
Weymouth,42.2212188,-70.9391625
Wilmington,42.5464828,-71.1736669
Winchester,42.4523178,-71.1369982
Winthrop,42.3750976,-70.982827
Woburn,42.4792618,-71.1522766
